kernel,time_us,status,metric,timing,shape,hardware,framework,date,raw_result
aten_exp2,224.384,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_exp2 torch_resident_us=224.384 timing=sync_wall shape='N=4194304'
aten_floor,226.208,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_floor torch_resident_us=226.208 timing=sync_wall shape='N=4194304'
aten_frac,224.864,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_frac torch_resident_us=224.864 timing=sync_wall shape='N=4194304'
aten_fractional_max_pool2d_cpu,309.920,PASS,torch_resident_us,sync_wall,B=19_C=28_IH=84_IW=93_OH=37_OW=47,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_fractional_max_pool2d_cpu torch_resident_us=309.920 timing=sync_wall shape='B=19_C=28_IH=84_IW=93_OH=37_OW=47'
aten_fractional_max_pool3d_cpu,313.696,PASS,torch_resident_us,sync_wall,B=5_C=10_ID=39_IH=44_IW=49_OD=15_OH=19_OW=24,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_fractional_max_pool3d_cpu torch_resident_us=313.696 timing=sync_wall shape='B=5_C=10_ID=39_IH=44_IW=49_OD=15_OH=19_OW=24'
aten_gelu,224.960,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_gelu torch_resident_us=224.960 timing=sync_wall shape='N=4194304'
aten_gelu_cpu_exact,224.896,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_gelu_cpu_exact torch_resident_us=224.896 timing=sync_wall shape='N=4194304'
aten_hardswish,226.208,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_hardswish torch_resident_us=226.208 timing=sync_wall shape='N=4194304'
aten_hardswish_backward,381.728,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_hardswish_backward torch_resident_us=381.728 timing=sync_wall shape='N=4194304'
aten_host_softmax_backward_cpu,691.008,PASS,torch_resident_us,sync_wall,R=65536_K=64,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_host_softmax_backward_cpu torch_resident_us=691.008 timing=sync_wall shape='R=65536_K=64'
aten_host_softmax_cpu,226.944,PASS,torch_resident_us,sync_wall,K=2897_R=1448,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_host_softmax_cpu torch_resident_us=226.944 timing=sync_wall shape='K=2897_R=1448'
aten_hypot,311.616,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_hypot torch_resident_us=311.616 timing=sync_wall shape='N=4194304'
aten_im2col,138.272,PASS,torch_resident_us,sync_wall,B=4_C=8_H=128_W=128_KH=3_KW=3,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_im2col torch_resident_us=138.272 timing=sync_wall shape='B=4_C=8_H=128_W=128_KH=3_KW=3'
aten_layer_norm,13965.888,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_layer_norm torch_resident_us=13965.888 timing=sync_wall shape='N=4194304'
aten_layer_norm_backward_cpu,852.128,PASS,torch_resident_us,sync_wall,B=1024_D=4095,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_layer_norm_backward_cpu torch_resident_us=852.128 timing=sync_wall shape='B=1024_D=4095'
aten_layer_norm_cpu_backend,554.304,PASS,torch_resident_us,sync_wall,B=1024_D=4095,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_layer_norm_cpu_backend torch_resident_us=554.304 timing=sync_wall shape='B=1024_D=4095'
aten_leaky_relu,229.248,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_leaky_relu torch_resident_us=229.248 timing=sync_wall shape='N=4194304'
aten_log,224.640,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_log torch_resident_us=224.640 timing=sync_wall shape='N=4194304'
aten_logaddexp,312.736,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_logaddexp torch_resident_us=312.736 timing=sync_wall shape='N=4194304'
aten_logaddexp2,314.464,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_logaddexp2 torch_resident_us=314.464 timing=sync_wall shape='N=4194304'
aten_max_pool2d,462.528,PASS,torch_resident_us,sync_wall,B=16_C=32_H=128_W=128_K=2_S=2,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_max_pool2d torch_resident_us=462.528 timing=sync_wall shape='B=16_C=32_H=128_W=128_K=2_S=2'
aten_mean,320.416,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_mean torch_resident_us=320.416 timing=sync_wall shape='N=4194304'
aten_mish,228.416,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_mish torch_resident_us=228.416 timing=sync_wall shape='N=4194304'
