kernel,native_aten_resident_us,min_us,max_us,iqr_us,errors,max_error,shape,recipe,samples,device,protocol
aten_huber_backward,393.824000,391.520000,395.456000,2.256000,0,2.98023e-08,N=4194304,b003b17441ada95b,"391.520000,395.456000,393.280000,393.856000,393.824000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_huber_elementwise,319.616000,316.000000,326.912000,7.456000,0,0,N=4194304,40458531c0ed998a,"319.616000,320.896000,326.912000,316.896000,316.000000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_mse_backward,391.296000,390.816000,395.776000,3.376000,0,0,N=4194304,3848b837a6d2bcb9,"391.296000,395.776000,392.704000,390.816000,390.912000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_smooth_l1_backward,394.560000,393.088000,396.512000,3.104000,0,0,N=4194304,50c63ccf860d2434,"394.560000,396.512000,396.512000,393.728000,393.088000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_smooth_l1_elementwise,317.184000,314.080000,318.880000,2.992000,0,0,N=4194304,be81f2aea77eb181,"318.880000,314.080000,317.184000,318.112000,316.928000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_lerp,418.848000,409.056000,421.376000,9.968000,0,0,N=4194304,4e802a140a827300,"421.120000,413.504000,418.848000,409.056000,421.376000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_lerp_scalar,318.784000,314.400000,328.320000,12.032000,0,0,N=4194304,3ed458b205f9ff3d,"328.320000,318.784000,325.952000,315.808000,314.400000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_lerp_scalar_cpu,315.936000,314.464000,319.392000,3.536000,0,0,N=4194304,78031c8798b7cb9a,"314.464000,315.936000,319.392000,316.896000,314.752000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_logit,226.016000,223.616000,229.184000,4.192000,0,0,N=4194304,8d961159ef398d33,"226.016000,224.960000,229.184000,227.776000,223.616000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_logit_backward,317.440000,315.424000,322.880000,6.256000,0,0,N=4194304,9d4fddc2f83a2bdf,"321.280000,317.440000,322.880000,315.424000,316.224000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_threshold_backward,321.472000,317.568000,339.296000,16.672000,0,0,N=4194304,c488a87f05701220,"339.296000,329.600000,321.472000,317.984000,317.568000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_angle_complex_scalarized,317.408000,315.040000,319.424000,3.600000,0,2.38419e-07,N=4194304,dea8f1b7b7cfa157,"319.040000,317.408000,319.424000,316.224000,315.040000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_diff_cpu,809.536000,775.648000,859.008000,58.560000,0,0,N=16777216,58729da87b52269a,"859.008000,819.584000,809.536000,785.824000,775.648000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_glu,326.016000,324.608000,328.704000,3.264000,0,1.19209e-07,N=4194304,02a7dcceff8d5d61,"325.568000,328.704000,324.608000,326.016000,328.000000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
