kernel,resident_us,warm_us,device_speedup,shape,errors,hardware,date,timing,process_runs,warmups,correctness_scope
aten_pixel_unshuffle_cpu_backend,1356.160,1420.617,1.048,B=4_C=13_H=32_RATIO=9_W=32,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_polar_scalarized,1783.360,13227.107,7.417,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_pow,890.592285,1771.945605,1.989626,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_pow_tensor_scalar,671.744141,1276.441553,1.900190,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_quant_col_offsets_cpu,6488.127998,19265.692801,2.969376,K=1048576_N=48,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-06,,,,
aten_reciprocal,1217.791992,1286.252832,1.056217,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_relu,1218.687988,1288.652783,1.057410,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_repeat_compute_cpu,337.440430,636.057617,1.884948,N=8192_R=512,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,,device_pointer_output_vs_C_reference
aten_repeat_tensor_shape_cpu,336.992188,632.396875,1.876592,N=8192_R=512,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,,device_pointer_output_vs_C_reference
aten_round,634.016,4722.304,7.448,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_round_decimals,644.800,4674.240,7.249,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_rsqrt,626.016113,1218.662354,1.946695,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_sampled_addmm_sparse_csr_cpu,8078.144043,32752.079980,4.054407,R=4096_K=512_C=4096_NNZ=262144_N=262144,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
