kernel,time_us,status,metric,timing,shape,hardware,framework,date,raw_result
aten_floor,4066.645,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_floor torch_cpu_us=4066.645 timing=sync_wall shape='N=4194304'
aten_frac,5454.957,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_frac torch_cpu_us=5454.957 timing=sync_wall shape='N=4194304'
aten_fractional_max_pool2d_cpu,9662.899,PASS,torch_cpu_us,sync_wall,B=19_C=28_IH=84_IW=93_OH=37_OW=47,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_fractional_max_pool2d_cpu torch_cpu_us=9662.899 timing=sync_wall shape='B=19_C=28_IH=84_IW=93_OH=37_OW=47'
aten_fractional_max_pool3d_cpu,10860.283,PASS,torch_cpu_us,sync_wall,B=5_C=10_ID=39_IH=44_IW=49_OD=15_OH=19_OW=24,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_fractional_max_pool3d_cpu torch_cpu_us=10860.283 timing=sync_wall shape='B=5_C=10_ID=39_IH=44_IW=49_OD=15_OH=19_OW=24'
aten_gelu,5906.001,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_gelu torch_cpu_us=5906.001 timing=sync_wall shape='N=4194304'
aten_gelu_cpu_exact,5895.197,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_gelu_cpu_exact torch_cpu_us=5895.197 timing=sync_wall shape='N=4194304'
aten_hardswish,5894.400,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_hardswish torch_cpu_us=5894.400 timing=sync_wall shape='N=4194304'
aten_hardswish_backward,4332.220,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_hardswish_backward torch_cpu_us=4332.220 timing=sync_wall shape='N=4194304'
aten_host_softmax_backward_cpu,5568.189,PASS,torch_cpu_us,sync_wall,R=65536_K=64,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_host_softmax_backward_cpu torch_cpu_us=5568.189 timing=sync_wall shape='R=65536_K=64'
aten_host_softmax_cpu,6027.910,PASS,torch_cpu_us,sync_wall,K=2897_R=1448,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_host_softmax_cpu torch_cpu_us=6027.910 timing=sync_wall shape='K=2897_R=1448'
aten_hypot,5128.906,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_hypot torch_cpu_us=5128.906 timing=sync_wall shape='N=4194304'
aten_im2col,5341.832,PASS,torch_cpu_us,sync_wall,B=4_C=8_H=128_W=128_KH=3_KW=3,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_im2col torch_cpu_us=5341.832 timing=sync_wall shape='B=4_C=8_H=128_W=128_KH=3_KW=3'
aten_layer_norm,8167.097,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_layer_norm torch_cpu_us=8167.097 timing=sync_wall shape='N=4194304'
aten_layer_norm_backward_cpu,21093.548,PASS,torch_cpu_us,sync_wall,B=1024_D=4095,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_layer_norm_backward_cpu torch_cpu_us=21093.548 timing=sync_wall shape='B=1024_D=4095'
