kernel,configuration,dataset,datatype,correctness_status,samples,warmups,statistic,time_ms,speedup_vs_native,library,measurement_scope,command,log
gemver,native_clang18_noinline,LARGE,double,pass,5,1,median,58.247000,1.000000,none,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_native_timing_final.sh,logs/gemver/native_timing_final_raw.log
gesummv,native_clang18_noinline,LARGE,double,pass,5,1,median,5.510000,1.000000,none,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_native_timing_final.sh,logs/gesummv/native_timing_final_raw.log
gramschmidt,native_clang18_noinline,LARGE,double,pass,5,1,median,33506.149000,1.000000,none,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_native_timing_final.sh,logs/gramschmidt/native_timing_final_raw.log
heat-3d,native_clang18_noinline,LARGE,double,pass,5,1,median,3228.123000,1.000000,none,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_native_timing_final.sh,logs/heat-3d/native_timing_final_raw.log
jacobi-1d,native_clang18_noinline,LARGE,double,pass,5,1,median,0.681000,1.000000,none,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_native_timing_final.sh,logs/jacobi-1d/native_timing_final_raw.log
jacobi-2d,native_clang18_noinline,LARGE,double,pass,5,1,median,2217.571000,1.000000,none,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_native_timing_final.sh,logs/jacobi-2d/native_timing_final_raw.log
lu,native_clang18_noinline,LARGE,double,pass,5,1,median,11734.263000,1.000000,none,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_native_timing_final.sh,logs/lu/native_timing_final_raw.log
ludcmp,native_clang18_noinline,LARGE,double,pass,5,1,median,11785.385000,1.000000,none,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_native_timing_final.sh,logs/ludcmp/native_timing_final_raw.log
mvt,native_clang18_noinline,LARGE,double,pass,5,1,median,49.914000,1.000000,none,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_native_timing_final.sh,logs/mvt/native_timing_final_raw.log
nussinov,native_clang18_noinline,LARGE,double,pass,5,1,median,17354.441000,1.000000,none,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_native_timing_final.sh,logs/nussinov/native_timing_final_raw.log
seidel-2d,native_clang18_noinline,LARGE,double,pass,5,1,median,24916.651000,1.000000,none,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_native_timing_final.sh,logs/seidel-2d/native_timing_final_raw.log
symm,native_clang18_noinline,LARGE,double,pass,5,1,median,7024.781000,1.000000,none,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_native_timing_final.sh,logs/symm/native_timing_final_raw.log
syr2k,native_clang18_noinline,LARGE,double,pass,5,1,median,11223.428000,1.000000,none,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_native_timing_final.sh,logs/syr2k/native_timing_final_raw.log
syrk,native_clang18_noinline,LARGE,double,pass,5,1,median,1846.015000,1.000000,none,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_native_timing_final.sh,logs/syrk/native_timing_final_raw.log
trisolv,native_clang18_noinline,LARGE,double,pass,5,1,median,4.211000,1.000000,none,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_native_timing_final.sh,logs/trisolv/native_timing_final_raw.log
trmm,native_clang18_noinline,LARGE,double,pass,5,1,median,6693.888000,1.000000,none,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_native_timing_final.sh,logs/trmm/native_timing_final_raw.log
2mm,raised_residual_cpu,LARGE,double,pass,5,1,median,2840.780000,0.978743,none,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_cpu_timing.sh,logs/2mm/residual_timing_raw.log
