kernel,batch,cohort_basis,comparability,shape,dtype,recipe_fingerprint,cpu_runner,native_gpu_runner,raised_gpu_runner,input_alignment,current_protocol_state,cpu_samples,cpu_median_us,cpu_errors,native_gpu_samples,native_gpu_median_us,native_gpu_errors,raised_samples,raised_median_us,raised_errors,three_way_status
aten_clamp_scalar_cpu,2,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,a5b7d49626a84340,exact_region_harness,exact_region_harness,polygeist_resident,VERIFIED,PENDING,"14979.008000,14980.832000,14979.456000,14960.160000,14982.048000",14979.456000,0,"228.832000,226.368000,224.800000,229.984000,225.824000",226.368000,0,"644.960007,632.608002,633.056000,641.151993,632.703995",633.056000,0,COMPLETE
aten_complex_scalarized,2,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,4aae25a1eecb3239,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING,"3537.600000,3445.824000,3461.728000,3472.640000,3560.928000",3472.640000,0,"406.848000,403.008000,402.016000,400.896000,406.080000",403.008000,0,"417.279999,407.264008,411.871994,408.832001,411.968002",411.871994,0,PENDING
aten_compressed_block_convert_cpu,2,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,R=2048_C=2048_BR=4_BC=4,f32,5d2934fd76b7e9c2,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING,"8897.760000,8969.888000,8963.136000,8908.832000,8926.944000",8926.944000,0,"264.352000,263.616000,267.040000,262.560000,264.640000",264.352000,0,,,,PENDING
aten_conj_complex_scalarized,2,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,cc9eb5896e00ae5b,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING,"3494.912000,3454.528000,3468.480000,3501.536000,3546.080000",3494.912000,0,"418.240000,413.824000,422.976000,419.712000,419.392000",419.392000,0,,,,PENDING
aten_conv1d,2,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,B=32_IC=64_OC=128_W=4096_K=3,f32,a345c29492c9ca0c,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"310877.280,310906.240,311037.856,311238.752,311185.568",311037.856000,,"5183.392000,5172.288000,5176.928000,5177.216000,5176.960000",5176.960000,0,"4848.671997,4721.215988,4714.207993,4720.544006,4719.552002",4720.544006,0,PENDING
aten_conv2d,2,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,B=4_IC=16_OC=32_H=128_W=128_KH=3_KW=3,f32,3b3bcbef73116a11,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"35366.880,35364.608,35307.104,35292.736,35274.528",35307.104000,,"382.048000,382.624000,374.848000,380.928000,384.800000",382.048000,0,"636.703995,631.328003,631.712006,625.472000,628.543991",631.328003,0,PENDING
aten_conv_transpose2d,2,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,B=2_IC=16_OC=32_H=128_W=128_K=3,f32,c294507cdb3f054e,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"29902.240,28755.360,28966.304,29222.944,32619.680",29222.944000,,"247.008000,243.648000,245.152000,238.624000,240.960000",243.648000,0,"442.335999,434.240005,417.759995,427.200012,425.951996",427.200012,0,PENDING
aten_conv_transpose3d_cpu,2,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,C=8_O=16_D=32_H=32_W=32_K=3,f32,cb3ec4a1c6f08eb8,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"38378.752,38213.696,38252.672,38273.280,38321.152",38273.280000,,"1590.240000,1585.600000,1587.808000,1579.776000,1583.008000",1585.600000,0,"1714.528000,1710.431992,1714.560013,1722.143997,1707.520004",1714.528000,0,PENDING
aten_convert_coo_to_csr_cpu,2,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304_R=65536,i32,88b6f49f4ce53c69,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING,"5158.624000,5167.936000,5119.232000,5198.432000,5151.136000",5158.624000,0,"325.984000,326.048000,324.384000,323.200000,326.592000",325.984000,0,,,,PENDING
aten_copy_cpu,2,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,bfde07a5167fb20d,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"1695.232,1810.720,1764.256,1753.120,1707.296",1753.120000,,"218.880000,220.864000,221.184000,219.392000,219.968000",219.968000,0,"207.775986,206.783997,209.952011,207.136002,203.584000",207.136002,0,PENDING
