kernel,batch,cohort_basis,comparability,shape,dtype,recipe_fingerprint,cpu_runner,native_gpu_runner,raised_gpu_runner,input_alignment,current_protocol_state
aten_hypot,4,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,360eac1f010bdb44,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_im2col,4,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,B=4_C=8_H=128_W=128_KH=3_KW=3,f32,a4c2fa550faa122e,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_int_mm_out_cpu,4,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,M=512_N=512_K=1024,f32,2ee5f09162f73db9,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_joint_scaling_cpu,4,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=16777216,f32,0f1d1b10e91e7c68,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_kron_impl_cpu,4,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,A=256_B=128_C=32_D=32,f32,71b58bc9f4730368,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_kron_out_cpu,4,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,A=256_B=128_C=32_D=32,f32,7607a09d96787dbe,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_leaky_relu,4,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,f81c45745cd970f2,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_lerp,4,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,4e802a140a827300,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_lerp_scalar,5,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,3ed458b205f9ff3d,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_lerp_scalar_cpu,5,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,78031c8798b7cb9a,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_lerp_tensor_cpu,5,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,1cfee9a904ffc548,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_log,5,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,3de8004fa500429e,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_log10,5,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,16be5501c4b754a0,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_log1p,5,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,e84c88cd8e52d9d7,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_log2,5,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,bb9bfb2fc1e8317e,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_log_sigmoid_backward_cpu,5,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,aab50d8328c1a843,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_log_sigmoid_cpu,5,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=8388608,f32,f5856fc92edb07f6,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
